date,sku,price,promo_flag,discount_pct,is_weekend,is_holiday,sales
2023-04-09,SKU_01,24.89,0,0.0,1,0,42
2023-04-10,SKU_01,26.0,1,0.286,0,0,72
2023-04-11,SKU_01,25.19,0,0.0,0,0,32
2023-04-12,SKU_01,26.79,0,0.0,0,0,29
2023-04-13,SKU_01,28.05,0,0.0,0,0,27
2023-04-14,SKU_01,27.69,0,0.0,0,0,29
2023-04-15,SKU_01,27.95,0,0.0,1,0,39
2023-04-16,SKU_01,27.38,0,0.0,1,0,40
2023-04-17,SKU_01,25.23,0,0.0,0,0,41
2023-04-18,SKU_01,25.97,0,0.0,0,0,34
2023-04-19,SKU_01,23.1,0,0.0,0,0,31
2023-04-20,SKU_01,21.72,0,0.0,0,0,29
2023-04-21,SKU_01,20.39,0,0.0,0,0,34
2023-04-22,SKU_01,18.08,0,0.0,1,0,39
2023-04-23,SKU_01,18.16,0,0.0,1,0,52
2023-04-24,SKU_01,17.88,0,0.0,0,0,49
2023-04-25,SKU_01,18.86,0,0.0,0,0,37
2023-04-26,SKU_01,17.71,0,0.0,0,0,32
2023-04-27,SKU_01,16.0,0,0.0,0,0,36
2023-04-28,SKU_01,19.06,0,0.0,0,0,33
2023-04-29,SKU_01,18.04,0,0.0,1,0,47
2023-04-30,SKU_01,18.23,0,0.0,1,0,46
2023-05-01,SKU_01,18.17,0,0.0,0,1,52
2023-05-02,SKU_01,16.75,0,0.0,0,1,46
2023-05-03,SKU_01,17.68,0,0.0,0,0,32
2023-05-04,SKU_01,17.63,0,0.0,0,0,26
2023-05-05,SKU_01,16.15,0,0.0,0,0,35
2023-05-06,SKU_01,16.45,0,0.0,1,0,49
2023-05-07,SKU_01,16.91,0,0.0,1,0,46
2023-05-08,SKU_01,18.75,0,0.0,0,0,49
2023-05-09,SKU_01,17.39,0,0.0,0,1,49
2023-05-10,SKU_01,17.2,0,0.0,0,0,35
2023-05-11,SKU_01,14.88,0,0.0,0,0,29
2023-05-12,SKU_01,14.56,0,0.0,0,0,35
2023-05-13,SKU_01,14.24,0,0.0,1,0,48
2023-05-14,SKU_01,13.59,0,0.0,1,0,51
2023-05-15,SKU_01,13.67,0,0.0,0,0,48
2023-05-16,SKU_01,13.42,0,0.0,0,0,48
2023-05-17,SKU_01,12.77,0,0.0,0,0,34
2023-05-18,SKU_01,12.33,0,0.0,0,0,28
2023-05-19,SKU_01,11.14,0,0.0,0,0,45
2023-05-20,SKU_01,13.27,0,0.0,1,0,55
2023-05-21,SKU_01,12.41,0,0.0,1,0,54
2023-05-22,SKU_01,12.3,0,0.0,0,0,53
2023-05-23,SKU_01,11.85,0,0.0,0,0,47
2023-05-24,SKU_01,11.89,0,0.0,0,0,38
2023-05-25,SKU_01,13.53,0,0.0,0,0,29
